词人,诗词数量
和岘,3
王禹,1
苏易简,1
寇准,7
钱惟演,2
陈尧佐,1
潘阆,11
丁谓,2
林逋,4
杨亿,1
陈亚,4
夏竦,2
聂冠卿,1
李遵,2
范仲淹,5
沈邈,2
杨适1,1
柳永,213
张先,165
晏殊,140
滕宗谅,1
张,31
王益,1
石延年,2
关咏,1
刘潜,3
李冠,5
谢绛,3
宋祁,7
贾昌朝,1
尹洙,1
梅尧臣,2
叶清臣,2
吴感,1
文彦博,1
欧阳修,242
荣,1
王琪,13
陈凤仪,1
苏舜钦,1
解,2
韩琦,5
沈唐,7
杜安世,84
赵,4
刘几,4
元绛,2
程师孟,1
陈朴,9
张伯端,27
卢氏,1
刘述,1
赵祯,1
王拱辰,1
蔡襄,1
韩绛,1
李师中,1
蔡挺,1
王益柔,1
韩维,7
曾巩,1
司马光,3
苏氏,6
刘敞,2
王,7
韩缜,1
韩缜姬,1
裴湘,2
阮逸女,1
滕甫,2
王安石,29
吴氏1,1
吴师孟,1
俞紫芝,3
郑獬,3
强至,1
沈注,1
蒲宗孟,1
陈汝羲,1
汪辅之,1
范纯仁,1
张才翁,1
寿涯禅师,1
章,2
徐积,6
沈括,4
范宽之,1
方资,1
王安国,3
孙洙,2
李清臣,1
韦骧,11
圆禅师,1
则禅师,1
陈偕,3
晏几道,260
王观,29
王安礼,3
张舜民,4
曾布,8
魏夫人,14
王仲甫,7
孙浩然,2
王诜,18
陈济翁,3
苏轼,362
郭讵,1
李之仪,96
蔡确,1
许将,2
郑无党,1
陈,4
苏辙,4
陈睦,2
马成,1
李婴,1
王齐愈,8
王齐叟,2
舒氏,1
琴操,2
舒亶,51
范祖禹,5
孔平仲,1
了元,1
太尉夫人,1
郭祥正,1
董,2
丁仙现,1
刘泾,2
黄裳,53
葛胜仲,82
米友仁,19
曾纡,9
秦湛,2
范周,2
吴则礼,39
向子諲,176
刘望之,3
法常,1
陆淞,2
卓世清,1
李结,2
向滈,5
向,38
程大昌,47
范成大,113
游次公,5
赵老,16
赵磻老,2
尤袤,2
谢懋,14
王质,74
张孝祥,224
郭世模,6
黄仁荣,1
许左之,2
黄谈,1
阎苍舒,1
崔敦礼,7
陈造,10
黄定,1
王自中,1
李处全,47
韩淲,197
李廷忠,15
方千里,93
吴泳,37
张景修,2
黄大临,3
黄庭坚,192
贺铸,282
赵仲御,1
仲殊,73
吕本中,27
毕良史,2
沈晦,1
郭章,1
胡世将,1
赵鼎,45
蒋璨,1
李邴,12
张元干,185
邓肃,46
林淳,11
廖行之,41
京镗,43
张震,5
王炎2,52
辛弃疾,629
张炎,302
陈义,4
梅娇,1
杏俏,1
苏小娘,1
张魁,1
张枢密,1
申二官人,1
杨岛仙,1
吴德远,1
连静女,2
楚娘,1
谢福娘,1
张时,1
双渐,1
黄夫人,1
刘使君,1
李氏2,1
朱希真,2
张幼谦,3
罗惜惜,1
萧回,1
春娘,1
张生2,2
郑云娘,1
吕岩,15
海哥,1
何仙姑,1
宋媛,2
吴城小龙女,1
蔡真人,1
懒堂女子,1
巫山神女,9
玉英,1
紫姑,2
清源真君,1
李季萼,1
随车娘子,1
玉真,1
乩仙,2
琴精,1
珍娘,1
刘清之,2
刘焘,12
田为,7
崔中,1
何锄翁,1
无名氏,1568
衣白山人,1
熊禾,5
叶梦得,103
黄叔达,1
盼盼,1
晁端礼,142
曾肇,1
郑仅,12
蔡京,1
苏琼,1
李元膺,9
吕南公,2
赵顼,1
吕希纯,1
喻陟,1
朱服,1
丁注,1
刘弇,8
时彦,1
廖正一,1
董武子,1
哑女,1
秦观,90
米芾,17
李甲,9
赵令畤,38
晁补之,167
陈师道,54
青幕子妇,1
张耒,9
侯蒙,1
周邦彦,186
陈瓘,24
刘山老,1
邵伯温,2
净端,5
李,6
孔夷,3
孔矩,2
邹浩,2
曾诞,1
李坦然,1
阮阅,6
赵企,2
汪存,1
谢逸,62
夏倪,1
晁冲之,16
苏庠,23
祖可,3
蔡,1
张阁,1
毛滂,204
宇文元质,1
范致虚,1
郑少微,2
李新,4
欧阳辟,1
司马,2
王重,2
某两地,1
王采,12
周纯,4
曹希蕴,2
廖刚,7
赵鼎臣,2
韩嘉彦,1
谢薖,17
沈蔚,22
唐庚,1
惠洪,21
吕颐浩,1
苏过,1
陆蕴,1
谢克家,1
李德载,3
赵子发,17
徐俯,17
王安中,55
张继先,56
赵士,5
江衍,1
周铢,1
王赏,1
李光,14
张生1,1
江纬,1
美奴,2
张扩,2
赵子崧,4
鉴堂,4
梅窗,8
欧阳,1
刘一止,42
汪藻,4
曹组,37
万俟咏,29
徐伸,1
江汉,1
田中行,2
赵温之,3
王庭珪,43
薛式,9
陈克,55
朱敦复,1
朱敦儒,246
孙觌,1
慕容卿妻,1
周紫芝,156
李弥逊,82
王以宁,32
吕渭老,134
林季仲,1
王之道,186
曹勋,183
胡寅,2
吴舜选,1
赵桓,3
刘子翬,4
何大圭,3
胡铨,16
宋先生,22
叶适,1
刘褒,5
章良能,1
熊以宁,3
詹克爱,3
李寅仲,1
张鎡,59
高观国,108
魏了翁,189
吴文英,341
莫将,13
邵博,1
赵佶,14
侯彭老,1
李纲,54
胡舜陟,2
李祁,14
叶祖义,1
左誉,3
吕直夫,1
杨景,1
范智闻,1
蒋元龙,3
周格非,1
程邻,1
何籀,1
廖世美,2
李元卓,1
张方仲,1
查,1
李敦诗,1
康仲伯,1
程过,2
曾,14
张纲,35
李清照,52
吴穆仲,1
杨适2,1
莫蒙,5
李璆,1
韩驹,2
颜博文,2
沈与求,4
陈东,4
姚孝宁,1
胡松年,2
李持正,2
王道亨,1
江致和,1
韩璜,1
李邦献,1
宋齐愈,1
宋江,1
袁,2
连仲宣,1
邢俊臣,6
幼卿,1
蒋氏女,1
蔡楠,6
李久善,2
宝月,8
苏仲及,1
赵耆孙,1
费时举,1
刘均国,1
权无染,5
南山居士,2
郭仲宣,1
邵叔齐,3
李子正,10
房舜卿,2
石耆翁,2
杜安道,1
史远道,1
郭仲循,1
范梦龙,1
薛几圣,1
马咸,1
洪皓,21
蔡伸,175
何,4
郑刚中,1
韩世忠,2
黄大舆,2
王灼,21
陈袭善,2
曾乾曜,1
孙,1
如晦,1
