词牌,数量
导引,97
六州,26
十二时・忆少年,30
点绛唇,389
越江吟,1
甘草子,4
踏莎行,202
阳关引,1
江南春・秋风清,2
夜度娘,1
木兰花・玉楼春,95
玉楼春,211
酒泉子,22
扫市舞,1
凤栖梧・蝶恋花,49
相思令・相思儿令,3
霜天晓角,97
瑞鹧鸪,60
少年游,83
生查子,178
喜迁莺,96
鹧鸪天,649
多丽,19
望汉月・忆汉月,3
滴滴金,12
苏幕遮,28
渔家傲,256
御街行,29
剔银灯,10
定风波,84
长相思,106
黄莺儿,5
玉女摇仙佩,4
雪梅香,3
尾犯,11
早梅芳・喜迁莺,7
斗百花,6
送征衣,1
昼夜乐,4
柳腰轻,1
西江月,490
倾杯乐,5
笛家弄・笛家,3
迎新春,1
曲玉管,1
满朝欢,3
梦还京,1
凤衔杯,7
鹤冲天,8
受恩深,1
看花回,10
柳初新,4
两同心,12
女冠子,7
金蕉叶,8
惜春郎,1
传花枝,1
雨霖铃,6
尉迟杯,7
慢卷绸,1
征部乐,1
佳人醉,2
迷仙引,2
归朝欢,15
采莲令,2
秋夜月・相见欢,1
巫山一段云,7
婆罗门令,1
法曲献仙音,17
西平乐,6
法曲第二・法曲,1
秋蕊香引,1
一寸金,8
永遇乐,75
卜算子,240
鹊桥仙,177
浪淘沙,175
夏云峰,8
浪淘沙令,6
荔枝香,5
古倾杯・倾杯乐,1
倾杯・倾杯乐,9
破阵乐,2
双声子,1
阳台路,1
内家娇,3
二郎神,17
醉蓬莱,105
宣清,1
锦堂春・锦堂春慢,11
诉衷情近,2
留客住,2
迎春乐,16
隔帘听,1
凤归云,3
抛球乐,2
集贤宾・接贤宾,1
人娇,22
思归乐,1
应天长,22
合欢带,3
驻马听,3
诉衷情,146
戚氏,2
轮台子,2
引驾行,4
望远行,8
彩云归,1
洞仙歌,152
离别难,1
击梧桐,4
夜半乐,2
祭天神,2
过涧歇近・过涧歇,2
安公子,10
菊花新,13
归去来,2
燕归梁,26
八六子,10
长寿乐,4
望海潮,37
如鱼水,2
玉蝴蝶,24
满江红,547
八声甘州,108
临江仙,480
竹马子・竹马儿,2
小镇西・小镇西犯,1
小镇西犯,1
迷神引,4
